id,created,salarymx,salaryusd,extramx,extrausd,variation,english_num,english_label,age,experience,seniority,country,city,profile,edutype,orgtype,emptype,remote,gender,education,act_dba,act_req,act_arq,act_bi,act_cap,act_dsc,act_spi,act_cons,act_dir,act_doc,act_techwrite,act_devops,act_erp,act_deng,act_techsales,act_prog,act_front,act_pm,act_infosec,act_soporte,act_test,act_uxd,act_ventas,lang_bash,lang_csharp,lang_clang,lang_cobol,lang_dart,lang_delphi,lang_elixir,lang_assm,lang_go,lang_groovy,lang_java,lang_js,lang_julia,lang_kotlin,lang_objc,lang_perl,lang_php,lang_plsql,lang_python,lang_rlang,lang_ruby,lang_rust,lang_scala,lang_swift,lang_vbnet,front_angular,front_phonegap,front_electron,front_flutter,front_ionic,front_ntscript,front_qt,front_react,front_unity,front_vue,front_xamarin,db_dynamo,db_cosmos,db_cassandra,db_elastic,db_firebasert,db_firestore,db_DB2,db_sqlserver,db_mongoDB,db_mysql,db_neo4j,db_oracle,db_pgsql,db_redis,db_sap,dsc_alteryx,dsc_azureml,dsc_dataiku,dsc_domino,dsc_h2o,dsc_watson,dsc_knime,dsc_rapidminer,dsc_sas,dsc_tf,infra_ansible,infra_chef,infra_docker,infra_k8s,infra_oshift,infra_ostack,infra_puppet,infra_terraform,infra_vmware,cert_agile,cert_android,cert_awsdev,cert_awsarch,cert_ba,cert_cisco,cert_cobit,cert_entarch,cert_cgeit,cert_gcloudarch,cert_gdata,cert_gweb,cert_itilint,cert_itilpra,cert_java,cert_linux,cert_msass,cert_msexp,cert_oracle,cert_pmp,cert_sap,cert_scrum,cert_infosec,cert_sixsigma,cert_testing2,cert_testing1,ben_equity,ben_car,ben_family,ben_edu,ben_bonus,ben_housing,ben_parking,ben_gas,ben_gym,ben_flexhours,ben_homeoffice,ben_loan,ben_healthmajor,ben_healthminor,ben_lifeins,ben_cafeteria,ben_cellphone,ben_vouchers,covid_remoto,covid_salario,covid_carga,covid_apoyo
2685,2020-11-20 19:11:29.41773,4000,0,48000,0,0,2,Limitado: Me doy a entender pero con errores de gramática (ILR 2),23,1,1,México,San Pedro,independiente,escuela,freelance,emprendedor,N,hombre,universidad,Y,Y,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,remote,desempleo,disminuido,
2686,2020-11-20 19:11:41.065283,34000,0,200000,0,50,3,Profesional: Puedo interactuar profesionalmente con colegas y clientes (ILR 3),38,12,5,México,CDMX,godin,escuela,corp,nomina,N,mujer,universidad,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,Y,remote,mejor,aumentado,computadora
2687,2020-11-20 19:11:52.99314,0,2900,0,0,3,2,Limitado: Me doy a entender pero con errores de gramática (ILR 2),40,20,20,Ecuador,Guayaquil,godin,escuela,corp,nomina,N,mujer,universidad,,,,,Y,,Y,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,Y,,,,,,,,,Y,,Y,,,Y,,Y,,,,,,,remote,igual,aumentado,
2688,2020-11-20 19:12:35.194169,45000,0,50000,0,5,3,Profesional: Puedo interactuar profesionalmente con colegas y clientes (ILR 3),45,25,14,México,CDMX,godin,escuela,uni,nomina,N,hombre,maestria,Y,,,,Y,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,Y,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,Y,,,Y,,,,,Y,Y,,Y,,,Y,remote,igual,aumentado,computadora
2689,2020-11-20 19:12:38.817691,100000,0,0,0,0,3,Profesional: Puedo interactuar profesionalmente con colegas y clientes (ILR 3),34,8,1,México,Campeche,independiente,autodidacta,itservices,honorarios,Y,hombre,universidad,,,Y,,,,,,,,,,,,,Y,Y,,,,,,,,,,,,,,,,,,Y,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,Y,,,,,,,,remote,igual,aumentado,
2690,2020-11-20 19:12:59.894686,4000,0,0,0,100,2,Limitado: Me doy a entender pero con errores de gramática (ILR 2),24,0,0,México,Cancún,godin,escuela,isv,nomina,N,hombre,pasante,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,Y,,,,,,,,remote,bajatemp,disminuido,
2691,2020-11-20 19:13:07.9871,22198,0,18750,0,0,4,Avanzado: Puedo conversar y escribir sin problemas sobre cualquier tema (ILR 4),27,5,4,México,CDMX,godin,escuela,itservices,hibrido,N,hombre,universidad,,,,,,Y,,,,,,,,,,Y,Y,,,,,,,,,,,,,,,,,,Y,,,,,,,Y,,,,Y,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,Y,Y,,Y,,Y,,,,remote,igual,aumentado,"['computadora', 'muebles']"
2692,2020-11-20 19:14:03.427343,20000,0,11000,0,0,2,Limitado: Me doy a entender pero con errores de gramática (ILR 2),30,3,1,México,Estado de México,godin,trabajo,itservices,hibrido,N,hombre,universidad,,,Y,,,,,,,,,,,,,Y,Y,,,,,,,,Y,,,,,,,,,,Y,,,,,,Y,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,Y,,,,,,remote,mejor,disminuido,"['computadora', 'muebles', 'internet']"
2693,2020-11-20 19:14:05.970792,25914,0,38871,0,0,2,Limitado: Me doy a entender pero con errores de gramática (ILR 2),32,5,5,México,Guanajuato,godin,escuela,gobierno,nomina,N,hombre,universidad,Y,,,,,,,,,,,,,,,Y,Y,,,,,,,,,,,,,,,,,,Y,,,,,Y,,,,,,,,Y,Y,,,Y,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,Y,,Y,,,,,,,,,,,,,,,,,,,,,Y,,,,,,onsite,igual,aumentado,
2694,2020-11-20 19:14:19.761736,25000,0,30000,0,10,2,Limitado: Me doy a entender pero con errores de gramática (ILR 2),25,2,2,México,Guanajuato,godin,escuela,gobierno,hibrido,N,hombre,universidad,Y,,Y,,,,,,,,,,,,,Y,,,,,,,,,Y,,,,,,,,,,Y,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,Y,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,Y,,,,,,,,,,,Y,Y,,,,,,,Y,,Y,,Y,Y,,,remote,igual,aumentado,computadora
2695,2020-11-20 19:14:59.907052,38000,0,20000,0,10,2,Limitado: Me doy a entender pero con errores de gramática (ILR 2),33,8,1,México,CDMX,godin,escuela,itservices,nomina,N,hombre,pasante,,Y,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,Y,,,,,,,,,,,,,,Y,,Y,Y,Y,Y,,,Y,remote,mejor,aumentado,
2696,2020-11-20 19:15:00.221897,22400,0,28000,0,0,1,Elemental: Sé lo básico para sobrevivir (ILR 1),30,8,4,México,Aguascalientes,godin,escuela,itservices,nomina,N,hombre,universidad,Y,,,,,,,,,,,,,,,Y,Y,,,,,,,,Y,,,,,,,,,,,,,Y,,,,,,,,,Y,,,,,,,,,,,Y,,,,,,,,,Y,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,Y,,Y,,,,,onsite,igual,disminuido,
2697,2020-11-20 19:15:17.522734,131000,0,100000,0,4,4,Avanzado: Puedo conversar y escribir sin problemas sobre cualquier tema (ILR 4),28,5,3,México,Morelia,godin,escuela,itservices,nomina,Y,hombre,universidad,,Y,Y,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,Y,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,Y,Y,,,,,Y,Y,,Y,Y,Y,,,,remote,igual,aumentado,computadora
2698,2020-11-20 19:15:17.603101,65000,0,0,0,10,3,Profesional: Puedo interactuar profesionalmente con colegas y clientes (ILR 3),29,7,1,México,Tijuana,godin,escuela,startup,honorarios,Y,hombre,maestria,,,,,Y,,Y,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,Y,,,,,,,,,,,,,,Y,Y,,,,,,,,remote,desempleo,disminuido,
2699,2020-11-20 19:15:17.812806,18000,0,20000,0,0,1,Elemental: Sé lo básico para sobrevivir (ILR 1),29,3,2,México,San Luis Potosí,godin,escuela,corp,nomina,N,hombre,universidad,Y,,,,,,,,,,,,,,,Y,Y,,,,,,,,Y,,,,,,,,,,Y,,,,,,Y,,,,,,,,,,,,,,,,,,Y,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,Y,,Y,Y,,,,,,,remote,bajatemp,aumentado,
2700,2020-11-20 19:15:32.909642,42000,0,62000,0,0,3,Profesional: Puedo interactuar profesionalmente con colegas y clientes (ILR 3),27,5,1,México,Monterrey,godin,escuela,isv,nomina,Y,hombre,universidad,,Y,,,,,,,,,,,,,,Y,Y,,,,,,,,Y,,,,,,,,,,Y,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,Y,Y,Y,,,Y,remote,igual,disminuido,
2701,2020-11-20 19:16:03.193688,69000,0,75000,0,0,2,Limitado: Me doy a entender pero con errores de gramática (ILR 2),44,20,2,México,CDMX,directivo,escuela,gobierno,nomina,N,hombre,maestria,,,,,,,,Y,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,Y,,Y,,,,,,,,,,,Y,,,,,,,,,,,Y,remote,igual,aumentado,
2702,2020-11-20 19:16:24.053592,120000,0,0,0,0,4,Avanzado: Puedo conversar y escribir sin problemas sobre cualquier tema (ILR 4),50,35,24,México,Torreón,directivo,escuela,isv,nomina,N,hombre,maestria,,Y,,,,,,,Y,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,Y,,,,,Y,Y,Y,Y,Y,,,,,remote,igual,aumentado,
2703,2020-11-20 19:16:52.260279,24000,0,250000,0,5,3,Profesional: Puedo interactuar profesionalmente con colegas y clientes (ILR 3),41,15,1,México,Puebla,godin,trabajo,itservices,nomina,N,hombre,universidad,,Y,Y,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,Y,Y,,,,,,,,,,,,Y,Y,,,,Y,,,,,,,,,,,Y,,,,,,Y,,,,,,,,remote,igual,aumentado,computadora
2704,2020-11-20 19:17:20.493448,27500,0,300000,0,0,1,Elemental: Sé lo básico para sobrevivir (ILR 1),32,8,1,México,CDMX,godin,autodidacta,itservices,nomina,N,hombre,universidad,,,,,,,,,,,,,,,,Y,Y,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,remote,igual,aumentado,computadora
2705,2020-11-20 19:17:50.920581,28000,0,26000,0,1,2,Limitado: Me doy a entender pero con errores de gramática (ILR 2),35,7,4,México,San Luis Potosí,godin,trabajo,corp,nomina,N,hombre,universidad,,Y,,,,,,,,,,,,,,Y,Y,,,,,,,,Y,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,Y,Y,,,,,,,remote,bajaperm,aumentado,
2706,2020-11-20 19:17:57.696557,35000,0,15000,0,0,2,Limitado: Me doy a entender pero con errores de gramática (ILR 2),36,11,3,México,CDMX,godin,trabajo,itservices,hibrido,N,mujer,pasante,,,,,,,,,,,Y,,,,,Y,Y,,,,,,,,,,,,,,,,,Y,Y,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,Y,,,,,Y,remote,igual,disminuido,
2707,2020-11-20 19:18:59.582994,33400,0,65000,0,10,3,Profesional: Puedo interactuar profesionalmente con colegas y clientes (ILR 3),32,8,2,México,Tijuana,godin,autodidacta,corp,nomina,Y,hombre,pasante,,,,,,,,,,,Y,,,,,Y,Y,,,,,,,,,,,,,,,,,Y,Y,,,,,,,Y,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,Y,,Y,,,Y,Y,,Y,Y,,Y,remote,igual,aumentado,"['computadora', 'muebles']"
2708,2020-11-20 19:19:33.161464,15000,0,0,0,0,2,Limitado: Me doy a entender pero con errores de gramática (ILR 2),24,4,1,México,Guadalajara,godin,escuela,itservices,nomina,N,hombre,universidad,,,,,,,,,,,,,,,,Y,Y,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,Y,,,Y,remote,mejor,aumentado,computadora
2709,2020-11-20 19:19:59.426613,40000,0,180000,0,25,2,Limitado: Me doy a entender pero con errores de gramática (ILR 2),53,25,24,México,mexicali,docente,escuela,uni,nomina,N,mujer,maestria,Y,,,,,,Y,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,Y,,Y,,,,,,Y,remote,igual,aumentado,computadora
2710,2020-11-20 19:20:13.544661,41500,0,40000,0,25,2,Limitado: Me doy a entender pero con errores de gramática (ILR 2),28,5,2,México,Guadalajara,godin,escuela,isv,nomina,N,hombre,universidad,,Y,,,,,,,,,,,,,,Y,Y,,,,,,,,Y,,,,,,,,,,Y,,,,,,,Y,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,Y,Y,Y,Y,,,,,,remote,igual,aumentado,"['computadora', 'muebles']"
2711,2020-11-20 19:20:25.129867,9000,0,0,0,0,2,Limitado: Me doy a entender pero con errores de gramática (ILR 2),28,5,3,México,campeche,godin,online,gobierno,honorarios,N,hombre,universidad,Y,,,,,,,,,,,,,,,Y,Y,,,,,,,,Y,,,,,,,,,,Y,,,,,,Y,,,,,,,,,,,,,,,Y,,,,,,,,,,,Y,,Y,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,remote,igual,disminuido,computadora
2712,2020-11-20 19:20:25.478795,0,5000,0,20000,0,5,Nativo o bilingue (ILR 5),28,4,1,Estados Unidos,Wilmington,godin,escuela,isv,nomina,N,hombre,universidad,,,Y,,,,,,,,,,,,,Y,,,,,Y,,,Y,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,Y,,Y,,,Y,Y,Y,Y,Y,Y,Y,,,remote,igual,aumentado,
2713,2020-11-20 19:20:57.5623,56000,0,250000,0,10,3,Profesional: Puedo interactuar profesionalmente con colegas y clientes (ILR 3),47,25,8,México,CDMX,godin,trabajo,itservices,nomina,N,hombre,posgrado,,Y,Y,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,Y,,,Y,Y,,,Y,,,,,,,,,Y,Y,,Y,,,Y,Y,,Y,,Y,,,,,,,Y,,Y,,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,remote,igual,aumentado,"['computadora', 'muebles']"
2714,2020-11-20 19:22:39.623908,7000,0,0,0,0,3,Profesional: Puedo interactuar profesionalmente con colegas y clientes (ILR 3),20,0,0,México,Durango,estudiante,online,itservices,becario,N,hombre,pasante,,Y,,,,,,,,,,,,,,Y,Y,,,,,,,,,,,,,,,,,,Y,,,,,Y,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,remote,igual,aumentado,
2715,2020-11-20 19:22:57.758135,73080,0,160000,0,6,4,Avanzado: Puedo conversar y escribir sin problemas sobre cualquier tema (ILR 4),37,15,2,México,Monterrey,godin,escuela,itservices,nomina,Y,hombre,universidad,,Y,Y,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,Y,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,Y,Y,,Y,,Y,,,Y,remote,mejor,aumentado,computadora
2716,2020-11-20 19:23:49.25151,60000,0,30000,0,50,3,Profesional: Puedo interactuar profesionalmente con colegas y clientes (ILR 3),26,4,1,México,Colima,godin,escuela,corp,nomina,N,mujer,universidad,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,Y,,,,,,,,remote,igual,aumentado,computadora
2717,2020-11-20 19:24:00.385191,14000,0,18000,0,0,1,Elemental: Sé lo básico para sobrevivir (ILR 1),27,3,2,México,CDMX,godin,escuela,corp,nomina,N,hombre,pasante,,,,,,,,Y,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,Y,Y,,Y,,,Y,remote,igual,disminuido,internet
