id,ip_address,created,recaptcha_score,salarymx,salaryusd,extramx,extrausd,variation,english_num,english_label,age,experience,seniority,country,city,profile,edutype,orgtype,emptype,remote,gender,education,act_dba,act_req,act_arq,act_bi,act_cap,act_dsc,act_spi,act_cons,act_dir,act_doc,act_techwrite,act_devops,act_erp,act_deng,act_techsales,act_prog,act_front,act_pm,act_infosec,act_soporte,act_test,act_uxd,act_ventas,lang_bash,lang_csharp,lang_clang,lang_cobol,lang_dart,lang_delphi,lang_elixir,lang_assm,lang_go,lang_groovy,lang_java,lang_js,lang_kotlin,lang_objc,lang_perl,lang_php,lang_plsql,lang_python,lang_rlang,lang_ruby,lang_rust,lang_scala,lang_swift,lang_vbnet,front_angular,front_phonegap,front_electron,front_flutter,front_ionic,front_ntscript,front_qt,front_react,front_unity,front_vue,front_xamarin,db_dynamo,db_cosmos,db_cassandra,db_elastic,db_firebasert,db_firestore,db_DB2,db_sqlserver,db_mongoDB,db_mysql,db_neo4j,db_oracle,db_pgsql,db_redis,db_sap,dsc_alteryx,dsc_azureml,dsc_dataiku,dsc_domino,dsc_h2o,dsc_watson,dsc_knime,dsc_rapidminer,dsc_sas,dsc_tf,infra_ansible,infra_chef,infra_docker,infra_k8s,infra_oshift,infra_ostack,infra_puppet,infra_terraform,infra_vmware,cert_agile,cert_android,cert_awsdev,cert_awsarch,cert_ba,cert_cisco,cert_cobit,cert_entarch,cert_cgeit,cert_gcloudarch,cert_gdata,cert_gweb,cert_itilint,cert_itilpra,cert_java,cert_linux,cert_msass,cert_msexp,cert_oracle,cert_pmp,cert_sap,cert_scrum,cert_infosec,cert_sixsigma,cert_testing2,cert_testing1,ben_equity,ben_car,ben_family,ben_edu,ben_bonus,ben_housing,ben_parking,ben_gas,ben_gym,ben_flexhours,ben_homeoffice,ben_loan,ben_healthmajor,ben_healthminor,ben_lifeins,ben_cafeteria,ben_cellphone,ben_vouchers
1637,2806:10a6:9:345b:d8b6:a545:241b:502d,2020-01-09 15:57:35.608201,,10000,0,0,0,0,2,Limitado: Me doy a entender pero con errores de gramática (ILR 2),23,0,0,México,Xalapa,godin,autodidacta,startup,honorarios,N,mujer,universidad,,,,,,,,,,,,,,,,,Y,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,
68,189.203.182.120,2019-12-24 07:23:21.083111,,8000,0,0,0,0,2,Limitado: Me doy a entender pero con errores de gramática (ILR 2),22,0,0,México,San Juan del Río,estudiante,escuela,uni,estudiante,N,mujer,pasante,Y,Y,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,Y,,,,,Y,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,Y,Y,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1171,187.189.83.42,2020-01-06 19:23:09.779049,,8000,0,2000,0,1,2,Limitado: Me doy a entender pero con errores de gramática (ILR 2),25,0,0,México,Xalapa,godin,escuela,isv,honorarios,N,hombre,universidad,,Y,,,,,,,,,,,,,,Y,Y,,,,,,,,,,,Y,,,,,,Y,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2507,200.68.139.10,2020-01-15 12:44:25.249457,,7500,0,0,0,0,2,Limitado: Me doy a entender pero con errores de gramática (ILR 2),24,0,0,México,Aguascalientes,estudiante,escuela,itservices,becario,Y,mujer,pasante,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,Y,,,Y,Y,,,
880,2806:108e:10:ed2:53b:49cc:986f:dc01,2019-12-28 22:23:32.613209,,6000,0,2000,0,0,3,Profesional: Puedo interactuar profesionalmente con colegas y clientes (ILR 3),23,0,0,México,Durango,godin,escuela,itservices,nomina,N,hombre,pasante,,,,,,,,,,,,,,,,Y,,,,,,,,,Y,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,Y,,,,
2523,2806:269:4400:abb6:a94b:eb6f:dbf7:89c5,2020-01-15 18:30:42.599388,,5999,0,0,0,0,3,Profesional: Puedo interactuar profesionalmente con colegas y clientes (ILR 3),23,0,0,México,Los Mochis,godin,escuela,itservices,nomina,N,hombre,universidad,,,,,,,,,,,,,,,,Y,Y,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,Y,,,,Y,,,
769,200.68.146.71,2019-12-27 21:17:54.598609,,5800,0,0,0,0,2,Limitado: Me doy a entender pero con errores de gramática (ILR 2),26,0,0,México,La Piedad,godin,online,startup,becario,N,hombre,pasante,Y,,,,,,,,,,,,,,,Y,Y,,,,,,,,Y,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2594,177.225.224.250,2020-01-19 06:44:33.069179,,3000,0,0,0,1,2,Limitado: Me doy a entender pero con errores de gramática (ILR 2),21,0,0,México,Querétaro,docente,escuela,freelance,nomina,N,hombre,tecnica,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,
229,37.10.148.51,2019-12-25 17:47:52.383459,,0,3000,0,40,0,4,Avanzado: Puedo conversar y escribir sin problemas sobre cualquier tema (ILR 4),26,0,0,Reino Unido,Londres,godin,escuela,startup,nomina,N,hombre,maestria,Y,,,Y,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,
323,85.136.43.15,2019-12-26 19:45:39.656919,,0,1500,0,1000,0,3,Profesional: Puedo interactuar profesionalmente con colegas y clientes (ILR 3),22,0,0,España,Granada,godin,escuela,isv,nomina,Y,hombre,pasante,,Y,,,,,,,,,,Y,,,,Y,,,,,,,,Y,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,Y,,
2345,181.51.32.130,2020-01-14 17:30:09.745701,,0,700,0,800,100,4,Avanzado: Puedo conversar y escribir sin problemas sobre cualquier tema (ILR 4),31,0,0,Colombia,Medellín,godin,online,itservices,nomina,Y,mujer,pasante,,,,,,,,,,,,,,,,,Y,,,,Y,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,Y,,,,,,Y,Y,Y,Y,,,,,
1761,201.149.39.206,2020-01-09 19:20:13.585849,,41000,0,0,0,0,3,Profesional: Puedo interactuar profesionalmente con colegas y clientes (ILR 3),24,1,1,México,CDMX,godin,online,startup,nomina,N,hombre,pasante,,,,,,,,,,,,,,,,,Y,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,Y,Y,Y,,Y,,Y,,,Y
95,187.188.188.14,2019-12-24 18:25:42.001374,,40000,0,12500,0,0,3,Profesional: Puedo interactuar profesionalmente con colegas y clientes (ILR 3),24,1,1,México,CDMX,godin,online,corp,nomina,N,hombre,universidad,,,Y,,,,,,,,,,,,,,Y,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,Y,Y,,Y
2434,177.240.212.130,2020-01-14 19:15:50.219006,,35000,0,30000,0,-10,4,Avanzado: Puedo conversar y escribir sin problemas sobre cualquier tema (ILR 4),24,1,1,México,Hermosillo,godin,escuela,itservices,nomina,Y,hombre,universidad,,,,,,,,,,,,Y,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,Y,Y,Y,Y,,,,,Y
2616,207.249.144.159,2020-01-22 03:08:26.927769,,34000,0,0,0,200,4,Avanzado: Puedo conversar y escribir sin problemas sobre cualquier tema (ILR 4),21,1,1,México,Guadalajara,estudiante,escuela,itservices,nomina,Y,hombre,pasante,Y,,,,,,,,,,,,,,,Y,Y,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,Y,,Y,,,,,Y,,,,Y,,,,,,,Y,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,Y,Y,Y,,Y,Y,,,Y
1292,189.217.19.243,2020-01-08 00:20:42.775126,,32000,0,150000,0,3,4,Avanzado: Puedo conversar y escribir sin problemas sobre cualquier tema (ILR 4),27,1,1,México,CDMX,godin,escuela,isv,nomina,Y,hombre,universidad,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,Y,,Y,,,Y,Y,,Y,Y,Y,,Y,
1316,189.216.107.202,2020-01-08 03:18:12.912118,,32000,0,11996,0,0,3,Profesional: Puedo interactuar profesionalmente con colegas y clientes (ILR 3),27,1,0,México,CDMX,godin,escuela,itservices,nomina,N,hombre,universidad,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,Y,,,,
1957,200.236.75.164,2020-01-10 18:48:51.674884,,32000,0,5000,0,10,1,Elemental: Sé lo básico para sobrevivir (ILR 1),23,1,1,México,Querétaro,godin,escuela,itservices,nomina,Y,hombre,pasante,Y,Y,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,Y,,,,Y,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2530,189.216.93.104,2020-01-15 20:36:41.524386,,32000,0,2800,0,0,3,Profesional: Puedo interactuar profesionalmente con colegas y clientes (ILR 3),25,1,1,México,CDMX,godin,escuela,isv,nomina,N,mujer,pasante,,,,,Y,,,,,,Y,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,Y,,Y,,,Y,Y,Y,Y,,Y,,,Y
50,2806:1016:8:43ae:2940:85cd:289d:ab45,2019-12-24 02:17:49.087239,,30560,0,50000,0,5,4,Avanzado: Puedo conversar y escribir sin problemas sobre cualquier tema (ILR 4),24,1,1,México,Hermosillo,godin,escuela,itservices,nomina,Y,hombre,pasante,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,Y,Y,,Y,,,,,Y
1381,2806:109f:a:c10d:7557:824f:7809:94a0,2020-01-08 18:59:36.131573,,30000,0,40000,0,10,4,Avanzado: Puedo conversar y escribir sin problemas sobre cualquier tema (ILR 4),30,1,1,México,Tampico,godin,escuela,itservices,nomina,N,hombre,phd,,,,Y,,Y,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,Y,,Y,Y,,,,
1456,189.203.174.11,2020-01-09 00:27:45.569074,,30000,0,4000,0,100,3,Profesional: Puedo interactuar profesionalmente con colegas y clientes (ILR 3),23,1,1,México,CDMX,godin,escuela,corp,nomina,N,hombre,universidad,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,Y,,Y,,Y,,,Y
1466,201.175.135.75,2020-01-09 01:31:15.159402,,28000,0,0,0,0,1,Elemental: Sé lo básico para sobrevivir (ILR 1),24,1,0,México,CDMX,godin,autodidacta,corp,hibrido,N,hombre,pasante,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,Y
2258,187.188.9.160,2020-01-14 02:14:24.357989,,28000,0,15000,0,167,2,Limitado: Me doy a entender pero con errores de gramática (ILR 2),24,1,1,México,CDMX,godin,bootcamp,startup,hibrido,N,hombre,pasante,,,,,,,,,,,,,,,,,Y,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,Y,Y,,Y,,Y,,,
1867,189.216.122.235,2020-01-10 03:31:45.208496,,27000,0,50000,0,40,3,Profesional: Puedo interactuar profesionalmente con colegas y clientes (ILR 3),25,1,0,México,CDMX,godin,bootcamp,itservices,hibrido,Y,mujer,prepa,,Y,,,,,,,,,,,,,,Y,Y,,,,,,,,,,,,,,,,,Y,Y,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,Y,Y,,,,
1792,187.162.208.218,2020-01-09 20:53:33.405761,,25000,0,35000,0,0,2,Limitado: Me doy a entender pero con errores de gramática (ILR 2),25,1,1,México,CDMX,godin,escuela,isv,nomina,N,hombre,pasante,,,Y,,,,,,,,,,,,,Y,,Y,,,,,,,,,,,,,,,,Y,Y,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,Y,,,,,,,Y,,,,,,
2438,189.188.109.86,2020-01-14 19:36:16.011953,,25000,0,90000,0,0,2,Limitado: Me doy a entender pero con errores de gramática (ILR 2),29,1,1,México,CDMX,godin,trabajo,itservices,nomina,N,hombre,pasante,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,Y,,,,,,
1905,187.190.160.196,2020-01-10 10:36:54.854528,,24800,0,30000,0,0,3,Profesional: Puedo interactuar profesionalmente con colegas y clientes (ILR 3),29,1,1,México,Guadalajara,godin,bootcamp,isv,nomina,Y,mujer,universidad,,,,,,,,,,,,,,Y,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,Y,Y,,Y,,,,,Y
2465,200.38.123.16,2020-01-14 21:32:19.56948,,24500,0,12250,0,32,3,Profesional: Puedo interactuar profesionalmente con colegas y clientes (ILR 3),28,1,1,México,CDMX,godin,escuela,corp,hibrido,N,mujer,maestria,,,,,,Y,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,Y,,,,Y,,Y
784,187.188.103.62,2019-12-27 21:57:38.465857,,24000,0,4000,0,0,2,Limitado: Me doy a entender pero con errores de gramática (ILR 2),24,1,1,México,CDMX,godin,online,itservices,hibrido,N,hombre,pasante,,,Y,,,,,,,,,,,,,Y,Y,,,,,,,,Y,,,,,,,,,,Y,,,,,Y,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2029,189.216.199.154,2020-01-11 18:11:14.131986,,24000,0,24000,0,0,2,Limitado: Me doy a entender pero con errores de gramática (ILR 2),27,1,1,México,CDMX,godin,bootcamp,itservices,honorarios,N,mujer,prepa,,,,,,,,Y,,,,,,,,,Y,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,Y,Y,Y,,,,,,
1378,177.247.104.123,2020-01-08 18:52:53.379443,,23000,0,10000,0,1,3,Profesional: Puedo interactuar profesionalmente con colegas y clientes (ILR 3),25,1,1,México,CDMX,godin,escuela,itservices,nomina,N,hombre,universidad,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,Y,Y,Y,Y,Y,Y,,,
2471,189.207.246.89,2020-01-14 22:05:05.214964,,23000,0,8000,0,0,4,Avanzado: Puedo conversar y escribir sin problemas sobre cualquier tema (ILR 4),24,1,1,México,Estado de México,godin,autodidacta,isv,hibrido,Y,hombre,pasante,,Y,Y,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,Y,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,Y,Y,Y,,Y,,,,,
1495,2806:102e:16:f82:108b:38cf:be94:e292,2020-01-09 04:41:04.714616,,22000,0,25000,0,44,5,Nativo o bilingue (ILR 5),26,1,1,México,León,godin,autodidacta,itservices,hibrido,Y,hombre,pasante,,,,,,,,,,,,,,,,Y,Y,,,,,Y,,,,,,,,,,,,,Y,,,,,,,,Y,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,Y,Y,,,,,,,
